	premise	hypothesis	type-of-inference	metadata	label
3561	I get to spend a whole day shopping.. How exciting.	I have to spend a whole day shopping.. How boring.	sarcasm	{'snum': '380430354340802561-2', 'incongruency': 'implicit'}	?
3562	I get to spend a whole day shopping.. How exciting.	I don't like to spend the whole day shopping.	sarcasm	{'snum': '380430354340802561-3', 'incongruency': 'implicit'}	?
3563	I get to spend a whole day shopping.. How exciting.	I dislike shopping.	sarcasm	{'snum': '380430354340802561-4', 'incongruency': 'implicit'}	?
3564	@User I love doing research papers on Sunday afternoons.	Doing research papers on Sunday afternoons is one of my least favorite things to do.	sarcasm	{'snum': '397147156718825472-1', 'incongruency': 'explicit'}	?
3565	@User I love doing research papers on Sunday afternoons.	@User I don't like doing research papers on Sunday afternoons.	sarcasm	{'snum': '397147156718825472-2', 'incongruency': 'explicit'}	?
3566	@User I love doing research papers on Sunday afternoons.	I don't like doing research papers on Sunday afternoons.	sarcasm	{'snum': '397147156718825472-3', 'incongruency': 'explicit'}	?
3567	@User I love doing research papers on Sunday afternoons.	I don't like doing research papers on Sundays.	sarcasm	{'snum': '397147156718825472-4', 'incongruency': 'explicit'}	?
3568	Oh, how I love waking up in the morning.	Getting up early in the morning is a drag	sarcasm	{'snum': '410401395649425408-1', 'incongruency': 'implicit'}	?
3569	Oh, how I love waking up in the morning.	Oh, how I dislike waking up in the morning.	sarcasm	{'snum': '410401395649425408-2', 'incongruency': 'implicit'}	?
3570	Oh, how I love waking up in the morning.	Oh, how I hate waking up in the morning.	sarcasm	{'snum': '410401395649425408-3', 'incongruency': 'implicit'}	?
3571	Oh, how I love waking up in the morning.	I hate waking up in the morning.	sarcasm	{'snum': '410401395649425408-4', 'incongruency': 'implicit'}	?
3572	Oh, how I love waking up in the morning.	I don't like mornings.	sarcasm	{'snum': '410401395649425408-5', 'incongruency': 'implicit'}	?
3573	I wish i was in a fraternity so i could wear bow ties and short shorts and do chest and biceps workouts everyday	I'm glad I'm not in a fraternity - it seems like all they do is wear bow ties and short shorts and do chest and biceps workouts everyday	sarcasm	{'snum': '383284343881605120-1', 'incongruency': 'implicit'}	?
3574	I wish i was in a fraternity so i could wear bow ties and short shorts and do chest and biceps workouts everyday	I'm so glad I'm not in a fraternity I would hate to wear bow ties and short shorts and do chest and biceps workouts everyday	sarcasm	{'snum': '383284343881605120-2', 'incongruency': 'implicit'}	?
3575	I wish i was in a fraternity so i could wear bow ties and short shorts and do chest and biceps workouts everyday	Guys in fraternities do stupid stuff and wear silly clothes.	sarcasm	{'snum': '383284343881605120-3', 'incongruency': 'implicit'}	?
3576	I wish i was in a fraternity so i could wear bow ties and short shorts and do chest and biceps workouts everyday	Boys in fraternities do strange things.	sarcasm	{'snum': '383284343881605120-4', 'incongruency': 'implicit'}	?
3577	I wish i was in a fraternity so i could wear bow ties and short shorts and do chest and biceps workouts everyday	No way would I want to be in a fraternity.	sarcasm	{'snum': '383284343881605120-5', 'incongruency': 'implicit'}	?
3578	Lalalala I love being bored #not #shouldbestudyin #fschool	I hate being bored because of the boring schoolwork I can't bring myself to do, and am upset at school for that reason.	sarcasm	{'snum': '408402370633031681-1', 'incongruency': 'explicit'}	?
3579	Lalalala I love being bored #not #shouldbestudyin #fschool	I hate being bored #not #shouldbestudyin #fschool	sarcasm	{'snum': '408402370633031681-2', 'incongruency': 'explicit'}	?
3580	Lalalala I love being bored #not #shouldbestudyin #fschool	I dislike school and find it uninteresting.	sarcasm	{'snum': '408402370633031681-3', 'incongruency': 'explicit'}	?
3581	Lalalala I love being bored #not #shouldbestudyin #fschool	I don't like it when I feel bored.	sarcasm	{'snum': '408402370633031681-4', 'incongruency': 'explicit'}	?
3582	Having permanent knee damage from dance is fantastic!	Having permanent knee damage from dance is awful.	sarcasm	{'snum': '422775959326965761-1', 'incongruency': 'explicit'}	?
3583	Having permanent knee damage from dance is fantastic!	Having permanent knee damage from dance is horrible!	sarcasm	{'snum': '422775959326965761-2', 'incongruency': 'explicit'}	?
3584	Having permanent knee damage from dance is fantastic!	Having permanent knee damage from dance is awful!	sarcasm	{'snum': '422775959326965761-3', 'incongruency': 'explicit'}	?
3585	Having permanent knee damage from dance is fantastic!	It feels bad to have a permanent knee damage from dancing.	sarcasm	{'snum': '422775959326965761-4', 'incongruency': 'explicit'}	?
3586	Having permanent knee damage from dance is fantastic!	I'm disappointed that I injured my knee while dancing.	sarcasm	{'snum': '422775959326965761-5', 'incongruency': 'explicit'}	?
3587	Dear client thanks for being with us for yet another year! To thank you properly here's your increase letter. Thanks Liberty Life	Despite being a loyal client of Liberty Life for the past year, they've increased the amount I must pay, which is not appreciative of me.	sarcasm	{'snum': '407829808748724224-1', 'incongruency': 'explicit'}	?
3588	Dear client thanks for being with us for yet another year! To thank you properly here's your increase letter. Thanks Liberty Life	Dear client thanks for being with us for yet another year! To disrespect your loyalty, here's your increase letter. Thanks Liberty Life	sarcasm	{'snum': '407829808748724224-2', 'incongruency': 'explicit'}	?
3589	Dear client thanks for being with us for yet another year! To thank you properly here's your increase letter. Thanks Liberty Life	Raising rates is not a reward for loyalty.	sarcasm	{'snum': '407829808748724224-3', 'incongruency': 'explicit'}	?
3590	Dear client thanks for being with us for yet another year! To thank you properly here's your increase letter. Thanks Liberty Life	i do not like Liberty Life raising my rates again.	sarcasm	{'snum': '407829808748724224-4', 'incongruency': 'explicit'}	?
3591	Good talking to you for a good 10 minutes today	I can't say I enjoyed talking to you for 10 minutes today.	sarcasm	{'snum': '415331775942893568-1', 'incongruency': 'implicit'}	?
3592	Good talking to you for a good 10 minutes today	It's not good to only talk to you for ten minutes today.	sarcasm	{'snum': '415331775942893568-2', 'incongruency': 'implicit'}	?
3593	Good talking to you for a good 10 minutes today	We could have talked longer. I would have liked that.	sarcasm	{'snum': '415331775942893568-3', 'incongruency': 'implicit'}	?
3594	Good talking to you for a good 10 minutes today	Didn't get to talk to you much today.	sarcasm	{'snum': '415331775942893568-4', 'incongruency': 'implicit'}	?
3595	@User enjoy your weekend shoot!! Oh and by the way I'm not jealous... But shot for the invite	I'm envious that my friend will be having an enjoyable weekend and I'm stuck doing something else. I would have appreciated an invite as well.	sarcasm	{'snum': '409009197515563008-1', 'incongruency': 'implicit'}	?
3596	@User enjoy your weekend shoot!! Oh and by the way I'm not jealous... But shot for the invite	@User don't enjoy your weekend shoot!! Oh and by the way I'm jealous... But shot for the invite	sarcasm	{'snum': '409009197515563008-2', 'incongruency': 'implicit'}	?
3597	@User enjoy your weekend shoot!! Oh and by the way I'm not jealous... But shot for the invite	I am very unhappy as I am not invited  for the weekend shoot!	sarcasm	{'snum': '409009197515563008-3', 'incongruency': 'implicit'}	?
3598	@User enjoy your weekend shoot!! Oh and by the way I'm not jealous... But shot for the invite	I'm upset that I didn't get an invite for the weekend.	sarcasm	{'snum': '409009197515563008-4', 'incongruency': 'implicit'}	?
3599	Got a new phone that works! And it only took eight days! Thanks @User #suboptimal	It took eight days to get a new phone that works! Not good customer service @User #suboptimal	sarcasm	{'snum': '382599182659620864-1', 'incongruency': 'implicit'}	?
3600	Got a new phone that works! And it only took eight days! Thanks @User #suboptimal	Got a new phone that works! But it took eight days!  @User #suboptimal	sarcasm	{'snum': '382599182659620864-2', 'incongruency': 'implicit'}	?
3601	Got a new phone that works! And it only took eight days! Thanks @User #suboptimal	I waited for longer than I expected for the replacement phone	sarcasm	{'snum': '382599182659620864-3', 'incongruency': 'implicit'}	?
3602	Got a new phone that works! And it only took eight days! Thanks @User #suboptimal	Eight days to receive a new phone is too long.	sarcasm	{'snum': '382599182659620864-4', 'incongruency': 'implicit'}	?
3603	I can feel myself falling asleep should really get to my bed. Really have such an interesting and eventful life for a teenager rious	I can feel myself falling asleep should really get to my bed. I have a boring life for a teenager.	sarcasm	{'snum': '378996298193838080-1', 'incongruency': 'explicit'}	?
3604	I can feel myself falling asleep should really get to my bed. Really have such an interesting and eventful life for a teenager rious	I can feel myself falling asleep should really get to my bed. I have a very uninteresting and uneventful life for a teenager.	sarcasm	{'snum': '378996298193838080-2', 'incongruency': 'explicit'}	?
3605	I can feel myself falling asleep should really get to my bed. Really have such an interesting and eventful life for a teenager rious	I can feel myself falling asleep should really get to my bed. Really isn't a very interesting and eventful life for a teenager rious	sarcasm	{'snum': '378996298193838080-3', 'incongruency': 'explicit'}	?
3606	I can feel myself falling asleep should really get to my bed. Really have such an interesting and eventful life for a teenager rious	I can feel myself falling asleep should really get to my bed. I don't really have an interesting and eventful life for a teenager	sarcasm	{'snum': '378996298193838080-4', 'incongruency': 'explicit'}	?
3607	@User Cheating is very easy, let's try something harder and a bit challenging like... Being loyal and honest?	@User Cheating is very easy, try being loyal and honest.	sarcasm	{'snum': '382782575518826496-1', 'incongruency': 'explicit'}	?
3608	@User Cheating is very easy, let's try something harder and a bit challenging like... Being loyal and honest?	@User Cheating is very easy, we really should be loyal and honest.	sarcasm	{'snum': '382782575518826496-2', 'incongruency': 'explicit'}	?
3609	@User Cheating is very easy, let's try something harder and a bit challenging like... Being loyal and honest?	Loyalty and honesty is a preferred virtue to cheating.	sarcasm	{'snum': '382782575518826496-3', 'incongruency': 'explicit'}	?
3610	I can totally tell how much you miss me by how much you've been attempting to talk to me this weekend!	I can tell you haven't missed me by how much you haven't attempted to talk to me this weekend!	sarcasm	{'snum': '378997556337852416-1', 'incongruency': 'implicit'}	?
3611	I can totally tell how much you miss me by how much you've been attempting to talk to me this weekend!	Since you haven't talked to me this weekend I guess you didn't miss me.	sarcasm	{'snum': '378997556337852416-2', 'incongruency': 'implicit'}	?
3612	I can totally tell how much you miss me by how much you've been attempting to talk to me this weekend!	I don't think you miss me because you haven't even tried to talk to me this weekend.	sarcasm	{'snum': '378997556337852416-3', 'incongruency': 'implicit'}	?
3613	I can totally tell how much you miss me by how much you've been attempting to talk to me this weekend!	You do not miss me because you have not talked to me all weekend.	sarcasm	{'snum': '378997556337852416-4', 'incongruency': 'implicit'}	?
3614	I can totally tell how much you miss me by how much you've been attempting to talk to me this weekend!	I can totally tell how much you don't miss me by how much you've been attempting to talk to me this weekend!	sarcasm	{'snum': '378997556337852416-5', 'incongruency': 'implicit'}	?
3615	I feel so loved right now!	I feel so unloved right now!	sarcasm	{'snum': '392451833999798272-1', 'incongruency': 'implicit'}	?
3616	I feel so loved right now!	I don't feel at all loved right now!	sarcasm	{'snum': '392451833999798272-2', 'incongruency': 'implicit'}	?
3617	I feel so loved right now!	I feel so hated right now!	sarcasm	{'snum': '392451833999798272-3', 'incongruency': 'implicit'}	?
3618	I feel so loved right now!	I'm feeling very alone and unloved by everyone.	sarcasm	{'snum': '392451833999798272-4', 'incongruency': 'implicit'}	?
3619	I feel so loved right now!	I feel very alone.	sarcasm	{'snum': '392451833999798272-5', 'incongruency': 'implicit'}	?
3620	Can you be annoying a little later? I'm still cleaning the gun...	Can you stop being annoying now? I'm still cleaning the gun ...	sarcasm	{'snum': '379049535429165056-1', 'incongruency': 'implicit'}	?
3621	Can you be annoying a little later? I'm still cleaning the gun...	If you don't stop being annoying, I will be angry.	sarcasm	{'snum': '379049535429165056-2', 'incongruency': 'implicit'}	?
3622	Can you be annoying a little later? I'm still cleaning the gun...	Stop being annoying.	sarcasm	{'snum': '379049535429165056-3', 'incongruency': 'implicit'}	?
3623	Can you be annoying a little later? I'm still cleaning the gun...	You're getting on my nerves.	sarcasm	{'snum': '379049535429165056-4', 'incongruency': 'implicit'}	?
3624	finally home! 11 hr shift and back at it again at noon tomorrow, what fun	finally home!! 11 hr shift and back at it again at noon tomorrow, not looking forward to it	sarcasm	{'snum': '386673326749257728-1', 'incongruency': 'explicit'}	?
3625	finally home! 11 hr shift and back at it again at noon tomorrow, what fun	finally home! 11 hr shift and back at it again at noon tomorrow, this is no fun	sarcasm	{'snum': '386673326749257728-2', 'incongruency': 'explicit'}	?
3626	finally home! 11 hr shift and back at it again at noon tomorrow, what fun	I am finally home after a 11 hour shift and hate to return to it again at noon tomorrow.	sarcasm	{'snum': '386673326749257728-3', 'incongruency': 'explicit'}	?
3627	finally home! 11 hr shift and back at it again at noon tomorrow, what fun	Its very tiring to work for 11 hours at a stretch and report back to work by noon on the next day.	sarcasm	{'snum': '386673326749257728-4', 'incongruency': 'explicit'}	?
3628	finally home! 11 hr shift and back at it again at noon tomorrow, what fun	I'm very tired from my work schedule.	sarcasm	{'snum': '386673326749257728-5', 'incongruency': 'explicit'}	?
3629	So much talk about the Scotland game tonight the whole nation is buzzing!! #TartanArmy	No one is talking about the Scotland game tonight the whole nation is quiet!! #TartanArmy	sarcasm	{'snum': '402761048606113793-1', 'incongruency': 'implicit'}	?
3630	So much talk about the Scotland game tonight the whole nation is buzzing!! #TartanArmy	So little talk about the Scotland game tonight the whole nation is ignoring it. #TartanArmy	sarcasm	{'snum': '402761048606113793-2', 'incongruency': 'implicit'}	?
3631	So much talk about the Scotland game tonight the whole nation is buzzing!! #TartanArmy	No one is talking about the Scotland game.	sarcasm	{'snum': '402761048606113793-3', 'incongruency': 'implicit'}	?
3632	@User Can't wait to go back to school to see everybody again	@User I don't want to go back to school to see everybody again	sarcasm	{'snum': '407338758736850944-1', 'incongruency': 'implicit'}	?
3633	@User Can't wait to go back to school to see everybody again	@User I don't want to go back to school to see everybody again	sarcasm	{'snum': '407338758736850944-2', 'incongruency': 'implicit'}	?
3634	@User Can't wait to go back to school to see everybody again	I'm not looking forward to school this year.	sarcasm	{'snum': '407338758736850944-3', 'incongruency': 'implicit'}	?
3635	@User Can't wait to go back to school to see everybody again	I do not want to go back to school.	sarcasm	{'snum': '407338758736850944-4', 'incongruency': 'implicit'}	?
3636	Waking up with a migraine is just the best	Waking up with a migraine is the worst	sarcasm	{'snum': '421620571856588801-1', 'incongruency': 'explicit'}	?
3637	Waking up with a migraine is just the best	Waking up with a migraine is just horrible	sarcasm	{'snum': '421620571856588801-2', 'incongruency': 'explicit'}	?
3638	Waking up with a migraine is just the best	Starting the day with a migraine is awful.	sarcasm	{'snum': '421620571856588801-3', 'incongruency': 'explicit'}	?
3639	Waking up with a migraine is just the best	I hate waking up with a migraine.	sarcasm	{'snum': '421620571856588801-4', 'incongruency': 'explicit'}	?
3640	Waking up with a migraine is just the best	Waking up with a migraine is horrible.	sarcasm	{'snum': '421620571856588801-5', 'incongruency': 'explicit'}	?
3641	Oh what a beautiful morning oh what a beautiful day,........,.. #fed up #bed	It's an ugly morning and a bad day,.........,.. #fed up #bed	sarcasm	{'snum': '404561289210769408-1', 'incongruency': 'explicit'}	?
3642	Oh what a beautiful morning oh what a beautiful day,........,.. #fed up #bed	Oh what a horrible morning oh what a horrible day...	sarcasm	{'snum': '404561289210769408-2', 'incongruency': 'explicit'}	?
3643	Oh what a beautiful morning oh what a beautiful day,........,.. #fed up #bed	Today is a bad day. I'm fed up.	sarcasm	{'snum': '404561289210769408-3', 'incongruency': 'explicit'}	?
3644	Oh what a beautiful morning oh what a beautiful day,........,.. #fed up #bed	I do not feel like getting up this morning and am fed up.	sarcasm	{'snum': '404561289210769408-4', 'incongruency': 'explicit'}	?
3645	Oh what a beautiful morning oh what a beautiful day,........,.. #fed up #bed	I don't like mornings.	sarcasm	{'snum': '404561289210769408-5', 'incongruency': 'explicit'}	?
3646	If ignorance is bliss. You must be the happiest person on this planet.	You are very ignorant.	sarcasm	{'snum': '383039895695941634-1', 'incongruency': 'explicit'}	?
3647	If ignorance is bliss. You must be the happiest person on this planet.	you are really ignorant	sarcasm	{'snum': '383039895695941634-2', 'incongruency': 'explicit'}	?
3648	If ignorance is bliss. You must be the happiest person on this planet.	You're not smart.	sarcasm	{'snum': '383039895695941634-3', 'incongruency': 'explicit'}	?
3649	If ignorance is bliss. You must be the happiest person on this planet.	If ignorance is bliss. You are not the happiest person on this planet.	sarcasm	{'snum': '383039895695941634-4', 'incongruency': 'explicit'}	?
3650	Well this is just fucking fantastic... #not	Well this is not good.	sarcasm	{'snum': '379086633775009794-1', 'incongruency': 'explicit'}	?
3651	Well this is just fucking fantastic... #not	Well this just sucks	sarcasm	{'snum': '379086633775009794-2', 'incongruency': 'explicit'}	?
3652	Well this is just fucking fantastic... #not	Well this is just fucking awful...	sarcasm	{'snum': '379086633775009794-3', 'incongruency': 'explicit'}	?
3653	Well this is just fucking fantastic... #not	This is horrible.	sarcasm	{'snum': '379086633775009794-4', 'incongruency': 'explicit'}	?
3654	Well this is just fucking fantastic... #not	Well this is just not fucking fantastic... #not	sarcasm	{'snum': '379086633775009794-5', 'incongruency': 'explicit'}	?
3655	Ice cream cereal and crisp what a great dinner!!! #wantfood	Ice cream cereal and crisp is not a good dinner !!! #wantfood	sarcasm	{'snum': '411552625637990400-1', 'incongruency': 'implicit'}	?
3656	Ice cream cereal and crisp what a great dinner!!! #wantfood	Ice cream cereal and crisp is a terrible dinner.	sarcasm	{'snum': '411552625637990400-2', 'incongruency': 'implicit'}	?
3657	Ice cream cereal and crisp what a great dinner!!! #wantfood	Ice cream cereal and crisp was a bad dinner!!! #wantfood	sarcasm	{'snum': '411552625637990400-3', 'incongruency': 'implicit'}	?
3658	Ice cream cereal and crisp what a great dinner!!! #wantfood	Ice cream cereal and crisp is a terrible dinner!	sarcasm	{'snum': '411552625637990400-4', 'incongruency': 'implicit'}	?
3659	Ice cream cereal and crisp what a great dinner!!! #wantfood	Ice cream cereal and crisp is an awful dinner!! #wantfood	sarcasm	{'snum': '411552625637990400-5', 'incongruency': 'implicit'}	?
3660	My lovely neighbour is vacuuming this time of the night	My rude neighbor is vacuuming this time of night	sarcasm	{'snum': '382158585779605504-1', 'incongruency': 'implicit'}	?
3661	My lovely neighbour is vacuuming this time of the night	My horrible neighbour is vacuuming this time of the night	sarcasm	{'snum': '382158585779605504-2', 'incongruency': 'implicit'}	?
3662	My lovely neighbour is vacuuming this time of the night	I hate my neighbour for vacuuming at night time.	sarcasm	{'snum': '382158585779605504-3', 'incongruency': 'implicit'}	?
3663	My lovely neighbour is vacuuming this time of the night	My terrible neighbor is vacuuming late at night.	sarcasm	{'snum': '382158585779605504-4', 'incongruency': 'implicit'}	?
3664	My lovely neighbour is vacuuming this time of the night	My neighbor's vacuuming is untimely.	sarcasm	{'snum': '382158585779605504-5', 'incongruency': 'implicit'}	?
3665	Who needs formal education when you can just preach all your knowledge learned from Netflix documentaries. .	Online documentaries are poor education / This person did not study at a proper school.	sarcasm	{'snum': '379127794363408384-1', 'incongruency': 'implicit'}	?
3666	Who needs formal education when you can just preach all your knowledge learned from Netflix documentaries. .	You need formal education because you can't just preach all your knowledge learned from Netflix documentaries.	sarcasm	{'snum': '379127794363408384-2', 'incongruency': 'implicit'}	?
3667	Who needs formal education when you can just preach all your knowledge learned from Netflix documentaries. .	Watching Netflix documentaries doesn't make you an educated person.	sarcasm	{'snum': '379127794363408384-3', 'incongruency': 'implicit'}	?
3668	Who needs formal education when you can just preach all your knowledge learned from Netflix documentaries. .	Watching a lot of documentaries does not make you an expert.	sarcasm	{'snum': '379127794363408384-4', 'incongruency': 'implicit'}	?
3669	Who needs formal education when you can just preach all your knowledge learned from Netflix documentaries. .	We still need formal education even though you can just preach all your knowledge learned form Netflix documentaries. .	sarcasm	{'snum': '379127794363408384-5', 'incongruency': 'implicit'}	?
3670	I must say, this is the tastiest Stella I have ever had! Worth all $12.70! /	Stella (beer) is tastes bad and the price is too much.	sarcasm	{'snum': '378987689259057152-1', 'incongruency': 'implicit'}	?
3671	I must say, this is the tastiest Stella I have ever had! Worth all $12.70! /	I must say, this tastes just like every other Stella I have ever had! Not at all worth $12.70! /	sarcasm	{'snum': '378987689259057152-2', 'incongruency': 'implicit'}	?
3672	I must say, this is the tastiest Stella I have ever had! Worth all $12.70! /	This Stella is not worth $12.70!	sarcasm	{'snum': '378987689259057152-3', 'incongruency': 'implicit'}	?
3673	I must say, this is the tastiest Stella I have ever had! Worth all $12.70! /	The beer was very expensive.	sarcasm	{'snum': '378987689259057152-4', 'incongruency': 'implicit'}	?
3674	ToUser I hate it when I flex and my shirt rips off. Totally me lool xD	Depending on context: A. My physique is not good. B. Body building is a silly sport.	sarcasm	{'snum': '3.79003E+17-1', 'incongruency': 'explicit'}	?
3675	Christmas is full of festive cheer and happiness especially in my house!!!	My house lacks festive cheer and happiness during Christmas.	sarcasm	{'snum': '414788578045333504-1', 'incongruency': 'implicit'}	?
3676	Christmas is full of festive cheer and happiness especially in my house!!!	Christmas in my house isn't full of festive cheer and happiness.	sarcasm	{'snum': '414788578045333504-2', 'incongruency': 'implicit'}	?
3677	Christmas is full of festive cheer and happiness especially in my house!!!	Christmas isn't full of festive cheer and happiness in my house!	sarcasm	{'snum': '414788578045333504-3', 'incongruency': 'implicit'}	?
3678	Christmas is full of festive cheer and happiness especially in my house!!!	My house has no Christmas cheer!	sarcasm	{'snum': '414788578045333504-4', 'incongruency': 'implicit'}	?
3679	Christmas is full of festive cheer and happiness especially in my house!!!	There's certainly no festive cheer and happiness in my house around Christmas!	sarcasm	{'snum': '414788578045333504-5', 'incongruency': 'implicit'}	?
3680	UT is playing football so well right now, looks like they might play in the Miley Cyrus Bowl. #justbadfootball #fb	UT is playing horrible right now.	sarcasm	{'snum': '379089776315351042-1', 'incongruency': 'implicit'}	?
3681	UT is playing football so well right now, looks like they might play in the Miley Cyrus Bowl. #justbadfootball #fb	UT is playing football so horribly right now, looks like they might play in the Miley Cyrus Bowl.	sarcasm	{'snum': '379089776315351042-2', 'incongruency': 'implicit'}	?
3682	UT is playing football so well right now, looks like they might play in the Miley Cyrus Bowl. #justbadfootball #fb	Ut is playing so badly that they deserve to be compared to Miley Cyrus.	sarcasm	{'snum': '379089776315351042-3', 'incongruency': 'implicit'}	?
3683	UT is playing football so well right now, looks like they might play in the Miley Cyrus Bowl. #justbadfootball #fb	UT is playing football so poorly right now, looks like they might play in the Miley Cyrus Bowl. #justbadfootball #fb	sarcasm	{'snum': '379089776315351042-4', 'incongruency': 'implicit'}	?
3684	UT is playing football so well right now, looks like they might play in the Miley Cyrus Bowl. #justbadfootball #fb	UT is playing so poorly right now, looks like they might play in the Miley Cyrus bowl. #justbadfootball #fb	sarcasm	{'snum': '379089776315351042-5', 'incongruency': 'implicit'}	?
3685	Cory just punched me in the eye playing beer pong. And he wonders why I won't be his girlfriend.....	Cory's violent behavior towards me reaffirms my choice not to date him.	sarcasm	{'snum': '379039590444969984-1', 'incongruency': 'explicit'}	?
3686	Cory just punched me in the eye playing beer pong. And he wonders why I won't be his girlfriend.....	I won't be Cory's girlfriend because he is so careless.	sarcasm	{'snum': '379039590444969984-2', 'incongruency': 'explicit'}	?
3687	Cory just punched me in the eye playing beer pong. And he wonders why I won't be his girlfriend.....	Cory just punched me in the eye playing beer pong. This is an example of why I won't be his girlfriend.	sarcasm	{'snum': '379039590444969984-3', 'incongruency': 'explicit'}	?
3688	It would have been cool to do a hunter classic. Gee thanks Dad for letting me go to finals even though its on your weekend.	I am disappointed my dad didn't allow me to attend the hunter classic event on the weekend I was with him.	sarcasm	{'snum': '379039044774404096-1', 'incongruency': 'implicit'}	?
3689	It would have been cool to do a hunter classic. Gee thanks Dad for letting me go to finals even though its on your weekend.	It would have been cool to do a hunter classic. I'm sad that I have to go to finals on Dad's weekend.	sarcasm	{'snum': '379039044774404096-2', 'incongruency': 'implicit'}	?
3690	It would have been cool to do a hunter classic. Gee thanks Dad for letting me go to finals even though its on your weekend.	My dad didnt let me go to the hunters classic because it's his weekend.	sarcasm	{'snum': '379039044774404096-3', 'incongruency': 'implicit'}	?
3691	It would have been cool to do a hunter classic. Gee thanks Dad for letting me go to finals even though its on your weekend.	My dad didn't let me go to the event.	sarcasm	{'snum': '379039044774404096-4', 'incongruency': 'implicit'}	?
3692	It would have been cool to do a hunter classic. Gee thanks Dad for letting me go to finals even though its on your weekend.	It would have been cool to do a hunter classic.  Unfortunately Did didn't let me go to finals since it's his weekend.	sarcasm	{'snum': '379039044774404096-5', 'incongruency': 'implicit'}	?
3693	Always so pleasant talking to you... #Shush	I don't enjoy talking to you.	sarcasm	{'snum': '379273490165030912-1', 'incongruency': 'implicit'}	?
3694	Always so pleasant talking to you... #Shush	It is always unpleasant talking to you... #Shush	sarcasm	{'snum': '379273490165030912-2', 'incongruency': 'implicit'}	?
3695	Always so pleasant talking to you... #Shush	I really don't enjoy talking to you.	sarcasm	{'snum': '379273490165030912-3', 'incongruency': 'implicit'}	?
3696	Always so pleasant talking to you... #Shush	Always so unpleasant talking to you... #Shush	sarcasm	{'snum': '379273490165030912-4', 'incongruency': 'implicit'}	?
3697	Always so pleasant talking to you... #Shush	I really don't like talking to you.  Please be quiet.	sarcasm	{'snum': '379273490165030912-5', 'incongruency': 'implicit'}	?
3698	OHHHH, Is it snowing?? I didn't seem to get the memo!!	I know that it is snowing, everyone is talking about it.	sarcasm	{'snum': '400457194640257024-1', 'incongruency': 'implicit'}	?
3699	OHHHH, Is it snowing?? I didn't seem to get the memo!!	Everyone keeps telling me that it's snowing, but it's obvious.	sarcasm	{'snum': '400457194640257024-2', 'incongruency': 'implicit'}	?
3700	OHHHH, Is it snowing?? I didn't seem to get the memo!!	Yes, I know it's snow. No need to remind me.	sarcasm	{'snum': '400457194640257024-3', 'incongruency': 'implicit'}	?
3701	OHHHH, Is it snowing?? I didn't seem to get the memo!!	OHHHH, Is it snowing?? I didn't need a memo!! I saw outside	sarcasm	{'snum': '400457194640257024-4', 'incongruency': 'implicit'}	?
3702	Too obvious kak. Thankyou. Your profesionalisme is the best	Your professionalism is terrible.	sarcasm	{'snum': '379103676553392128-1', 'incongruency': 'implicit'}	?
3703	Too obvious kak. Thankyou. Your profesionalisme is the best	You are not very professional.	sarcasm	{'snum': '379103676553392128-2', 'incongruency': 'implicit'}	?
3704	Too obvious kak. Thankyou. Your profesionalisme is the best	Too obvious, kak. You are unprofessional.	sarcasm	{'snum': '379103676553392128-3', 'incongruency': 'implicit'}	?
3705	Too obvious kak. Thankyou. Your profesionalisme is the best	Too obvious kak. Thankyou. Your profesionalisme is the worst.	sarcasm	{'snum': '379103676553392128-4', 'incongruency': 'implicit'}	?
3706	Too obvious kak. Thankyou. Your profesionalisme is the best	Too obvious kak. no Thankyou. Your profesionalisme is not the best	sarcasm	{'snum': '379103676553392128-5', 'incongruency': 'implicit'}	?
3707	Headache and preparing a meal for one for dinner, I don't think my life had ever been so exciting! #sorrysunday	My life is pretty boring. I have a headache and I am preparing a meal for one.	sarcasm	{'snum': '404558656299356160-1', 'incongruency': 'explicit'}	?
3708	Headache and preparing a meal for one for dinner, I don't think my life had ever been so exciting! #sorrysunday	Headache and preparing a meal for one for dinner, I do not lead an exciting life.	sarcasm	{'snum': '404558656299356160-2', 'incongruency': 'explicit'}	?
3709	Headache and preparing a meal for one for dinner, I don't think my life had ever been so exciting! #sorrysunday	Headache and preparing a meal for one for dinner, I don't think my life had ever been so terdious! #sorrysunday	sarcasm	{'snum': '404558656299356160-3', 'incongruency': 'explicit'}	?
3710	Headache and preparing a meal for one for dinner, I don't think my life had ever been so exciting! #sorrysunday	Headache and preparing a meal for one for dinner, I don't think my life had ever been so boring! #sorrysunday	sarcasm	{'snum': '404558656299356160-4', 'incongruency': 'explicit'}	?
3711	Headache and preparing a meal for one for dinner, I don't think my life had ever been so exciting! #sorrysunday	Headache and preparing a meal for one for dinner, My life is so boring.	sarcasm	{'snum': '404558656299356160-5', 'incongruency': 'explicit'}	?
3712	Awh. Really cute that everybody gives a fuck. s #Annoyed	I'm annoyed that nobody cares.	sarcasm	{'snum': '379044379744165888-1', 'incongruency': 'explicit'}	?
3713	Awh. Really cute that everybody gives a fuck. s #Annoyed	It really sucks that nobody cares.	sarcasm	{'snum': '379044379744165888-2', 'incongruency': 'explicit'}	?
